tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitSteps
238.00,-gneE19_0,45.25,13.56,133.00,0.00,-gneE7_0,5.10,0.00,tripinfo_133,105.00,133,0,184.62,1.00,90.72,DEFAULT_VEHTYPE,,71
239.00,-gneE23_0,45.25,13.11,97.00,0.00,-gneE11_0,5.10,0.00,tripinfo_97,142.00,97,0,380.12,1.00,113.44,DEFAULT_VEHTYPE,,71
239.00,gneE12_0,45.25,13.35,85.00,2.00,0/2to1/2_0,5.10,0.00,tripinfo_83,154.00,83,0,431.43,1.00,122.00,DEFAULT_VEHTYPE,,93
240.00,2/0to1/0_0,90.50,13.07,114.00,0.00,1/1to1/2_0,5.10,0.00,tripinfo_114,126.00,114,0,467.28,1.00,91.27,DEFAULT_VEHTYPE,,71
240.00,-gneE19_0,45.25,12.73,175.00,0.00,-gneE7_0,5.10,0.00,tripinfo_175,65.00,175,0,184.62,1.00,50.75,DEFAULT_VEHTYPE,,29
240.00,gneE11_0,45.25,13.80,159.00,0.00,1/1to1/2_0,5.10,0.00,tripinfo_159,81.00,159,0,424.34,1.00,49.55,DEFAULT_VEHTYPE,,26
241.00,2/1to2/0_0,90.50,5.78,149.00,0.00,-gneE12_0,5.10,0.00,tripinfo_149,92.00,149,0,228.56,1.00,75.03,DEFAULT_VEHTYPE,,55
241.00,gneE13_0,45.25,13.65,158.00,0.00,gneE22_0,5.10,0.00,tripinfo_158,83.00,158,0,190.68,1.00,68.25,DEFAULT_VEHTYPE,,45
243.00,gneE7_0,45.25,13.31,58.00,0.00,gneE22_0,5.10,0.00,tripinfo_58,185.00,58,0,386.18,1.00,155.86,DEFAULT_VEHTYPE,,116
243.00,gneE14_0,45.25,13.58,191.00,14.00,gneE22_0,5.10,0.00,tripinfo_177,52.00,177,0,186.34,1.00,37.71,DEFAULT_VEHTYPE,,18
245.00,gneE11_0,45.25,12.69,126.00,0.00,-gneE8_0,5.10,0.00,tripinfo_126,119.00,126,0,294.90,1.00,96.85,DEFAULT_VEHTYPE,,76
245.00,gneE9_0,45.25,13.74,161.00,0.00,-gneE11_0,5.10,0.00,tripinfo_161,84.00,161,0,290.40,1.00,62.28,DEFAULT_VEHTYPE,,35
246.00,2/0to1/0_0,90.50,13.84,186.00,0.00,gneE19_0,5.10,0.00,tripinfo_186,60.00,186,0,429.12,1.00,28.48,DEFAULT_VEHTYPE,,12
247.00,gneE13_0,45.25,13.32,99.00,0.00,gneE20_0,5.10,0.00,tripinfo_99,148.00,99,0,386.18,1.00,119.10,DEFAULT_VEHTYPE,,85
248.00,gneE7_0,45.25,12.98,102.00,0.00,gneE22_0,5.10,0.00,tripinfo_102,146.00,102,0,386.18,1.00,117.11,DEFAULT_VEHTYPE,,74
248.00,gneE14_0,45.25,13.15,194.00,14.00,gneE22_0,5.10,0.00,tripinfo_180,54.00,180,0,186.34,1.00,39.03,DEFAULT_VEHTYPE,,13
248.00,gneE12_0,45.25,13.13,151.00,0.00,-gneE8_0,5.10,0.00,tripinfo_151,97.00,151,0,290.56,1.00,75.59,DEFAULT_VEHTYPE,,56
250.00,2/2to1/2_0,90.50,10.90,144.00,1.00,gneE22_0,5.10,0.00,tripinfo_143,106.00,143,0,430.97,1.00,74.23,DEFAULT_VEHTYPE,,55
251.00,gneE7_0,45.25,12.69,119.00,0.00,1/2to2/2_0,5.10,0.00,tripinfo_119,132.00,119,0,330.97,1.00,108.07,DEFAULT_VEHTYPE,,74
